Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
Chardonnay 2019,France,Vin de France,Château Pesquie,3.6,26,8.1,2019
Châteauneuf-du-Pape Prestige 2012,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.1,26,69.95,2012
Chenin Blanc 2019,South Africa,Western Cape,Long Beach,3.7,26,5.79,2019
Sancerre Blanc 2019,France,Sancerre,Pascal Jolivet,4.1,26,24.24,2019
Ritme Blanc 2017,Spain,Priorat,Acustic Celler,4.0,26,16.99,2017
Iphöfer Julius-Echter-Berg Riesling 2018,Germany,Franken,Hans Wirsching,3.8,26,14.74,2018
Arcane 2018,France,Saumur,Château de Fosse-Sèche,4.0,26,27.2,2018
Blanco 2018,Spain,Rioja,Eguren Ugarte,3.4,26,4.5,2018
Wildcard Chardonnay (Unoaked) 2018,Australia,South Australia,Peter Lehmann,3.1,26,6.69,2018
Chenin 2018,South Africa,Western Cape,Luddite,4.0,26,32.9,2018
Vieilles Vignes Côtes Catalanes Blanc 2015,France,Côtes Catalanes,Gauby,4.0,26,29.15,2015
Evoè Bianco 2013,Italy,Toscana,Panizzi,3.8,26,24.24,2013
Grüner Veltliner Ried Loibenberg 2017,Austria,Wachau,Pichler-Krutzler,3.8,26,32.87,2017
Bandol Blanc 2016,France,Bandol,Domaine de la Tour du Bon,3.8,26,18.84,2016
Souvignier Gris 2017,Italy,Mitterberg,Thomas Niedermayr,3.8,26,16.9,2017
Weissburgunder 2018,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),3.7,26,9.21,2018
Benedictus Lugana 2018,Italy,Lugana,Le Morette,3.7,26,9.8,2018
Trebbiano d'Abruzzo 2016,Italy,Trebbiano d'Abruzzo,Villamedoro,3.1,26,4.7,2016
Arneis Langhe 2018,Italy,Langhe,Ascheri,3.6,26,9.9,2018
Trebbiano d'Abruzzo 2018,Italy,Trebbiano d'Abruzzo,Caldora,2.9,26,4.75,2018
Pessac-Léognan Blanc 2015,France,Pessac-Léognan,Château Gazin Rocquencourt,4.0,26,34.15,2015
Pratum 2015,Italy,Südtirol - Alto Adige,Castel Sallegg,4.0,26,26.29,2015
Ölberg Riesling 2017,Germany,Rheinhessen,Kühling-Gillot,4.2,26,35.65,2017
Alt Scheidt Riesling Feinherb 2017,Germany,Mosel,Peter Lauer,3.8,26,11.95,2017
Steren Weiß- & Grauburgunder Trocken 2018,Germany,Franken,Bürgerspital,3.2,26,9.39,2018
Neuburger Freyheit 2017,Austria,Bergland,Heinrich,3.7,26,18.98,2017
Sauvignon Blanc 2018,New Zealand,Marlborough,Main Divide,3.8,26,16.95,2018
Sauvignon Blanc 2019,South Africa,Cape Point,Cape Point Vineyards,3.5,26,13.25,2019
Mandorlo White Blend 2018,Italy,Toscana,Montellori,3.7,26,9.37,2018
Ruppertsberger Riesling 2017,Germany,Pfalz,Fußer,3.7,26,10.6,2017
Schieferblume Riesling Trocken 2018,Germany,Mosel,Rita & Rudolf Trossen,3.8,26,13.4,2018
Embruns de Viognier 2019,France,Pays d'Oc,Michel Gassier,3.5,26,9.68,2019
M Grüner Veltliner Smaragd 2017,Austria,Wachau,F.X. Pichler,4.3,26,72.5,2017
L'Aubinière Muscadet Sèvre et Maine Sur Lie 2018,France,Muscadet-Sevre et Maine,Terroirs de la Noëlle,3.4,27,6.5,2018
Chardonnay Felsenstein 2018,Austria,Burgenland,Birgit Braunstein,3.8,27,11.95,2018
Christoffel Hazenwinkel The White Blend 2018,South Africa,Western Cape,Hazendal,3.4,27,14.5,2018
Appenheimer Riesling Kalkstein 2018,Germany,Rheinhessen,Knewitz,3.6,27,14.5,2018
Rotschiefer Riesling 2014,Germany,Mosel,Sorentberg,3.8,27,14.7,2014
Bordeaux Blanc Sec 2016,France,Bordeaux Sec,Château Lafaurie-Peyraguey,3.9,27,67.75,2016
Hattenheimer Schützenhaus Riesling Kabinett 2018,Germany,Rheingau,Balthasar Ress,3.8,27,13.9,2018
Hipping Riesling 2016,Germany,Rheinhessen,Schätzel,3.6,27,60.96,2016
Obvius Bianco 2017,Italy,Toscana,Salcheto,3.5,27,13.9,2017
Manzoni Bianco Fontanasanta 2019,Italy,Vigneti delle Dolomiti,Foradori,3.6,27,18.06,2019
Riesling Charta 2017,Germany,Rheingau,Barth,3.8,27,13.68,2017
Barrique Sauvignon Blanc 2015,New Zealand,Marlborough,Saint Clair,4.0,27,18.95,2015
Altos R Blanco 2018,Spain,Rioja,Altos de Rioja,3.6,27,6.95,2018
Schiefersteil Riesling 2018,Germany,Mosel,Markus Molitor,4.0,27,12.5,2018
Markus Pfaffmann Sauvignon Blanc Trocken 2019,Germany,Pfalz,Karl Pfaffmann,4.1,27,7.5,2019
Bürklin Estate Riesling 2018,Germany,Pfalz,Dr. Bürklin-Wolf,3.7,27,12.5,2018
Chardonnay 2017,United States,Monterey,Craftwork,3.7,27,14.99,2017
Ritterpfad Riesling Kabinett 2015,Germany,Mosel,Van Volxem,4.0,27,17.95,2015
Pinot Bianco - Pinot Nero 2017,Italy,Veneto,Biscardo,3.6,27,7.2,2017
Escherndorfer Lump Riesling S. 2018,Germany,Franken,Horst Sauer,3.9,27,18.0,2018
Catarratto - Zibibbo 2019,Italy,Terre Siciliane,Vaccaro,4.0,27,7.31,2019
Bentrock Chardonnay 2013,United States,Sta. Rita Hills,Sandhi,4.1,27,89.0,2013
Le Naturel Blanco 2019,Spain,Navarra,Aroa,3.9,27,12.95,2019
Bourgogne Blanc Retour des Flandres 2016,France,Bourgogne,Régnard,3.6,27,20.65,2016
Sauvignon Blanc 2019,France,Pays d'Oc,Paul Mas,3.7,27,5.5,2019
Freundstück GG 2017,Germany,Pfalz,Georg Mosbacher,4.1,27,28.24,2017
Riesling 2019,Germany,Pfalz,Schneider,3.6,27,10.3,2019
The Vine in Flames Fetească Regală Dry 2018,Romania,Dealu Mare,Budureasca,3.5,27,9.9,2018
Graacher Himmelreich Riesling Auslese 2016,Germany,Graach,Joh. Jos. Prüm,4.1,27,32.65,2016
Pinot Grigio 2019,Italy,Venezia Giulia,Jermann,3.8,27,16.85,2019
Höllberg Riesling GG 2017,Germany,Rheinhessen,Wagner-Stempel,4.0,27,37.56,2017
Riesling 2017,Germany,Mosel,Heymann-Löwenstein,3.5,27,37.0,2017
Kirchberg 2017,Germany,Mosel,Heymann-Löwenstein,3.8,27,24.0,2017
Geheimrat J Riesling Spätlese Trocken 2015,Germany,Rheingau,Weingüter Wegeler,4.1,27,24.9,2015
Merus Sauvignon Blanc 2019,Italy,Trentino,Tiefenbrunner,4.1,27,9.99,2019
Forster Ungeheuer Riesling 2018,Germany,Pfalz,Von Winning,4.3,27,35.0,2018
Bourgogne Hautes Côtes de Beaune Blanc 2007,France,Bourgogne Hautes-Côtes de Beaune,Jayer Gilles,3.4,27,25.0,2007
Sommer Riesling Trocken 2019,Germany,Rheingau,Schloss Vollrads,3.8,27,7.9,2019
Lagar de Darei Branco 2017,Portugal,Dão,Darei,3.7,27,8.77,2017
Chenin Blanc 2018,South Africa,Stellenbosch,Rainbow's End,3.6,27,8.9,2018
Lugana Blanc 2019,Italy,Lugana,Ca' Lojera,3.9,27,10.57,2019
Bèru 2015,Italy,Vermentino di Gallura,Siddura,3.9,27,34.9,2015
Cà del Lago Lugana 2019,Italy,Lugana,Villabella,4.0,27,9.83,2019
Weissburgunder Trocken 2019,Germany,Pfalz,Weingut Metzger,3.8,27,8.5,2019
Hard 2017,Germany,Baden,Ziereisen,4.3,27,26.5,2017
Gewürztraminer 2019,Italy,Südtirol - Alto Adige,Tramin,3.8,27,9.73,2019
RS Grauburgunder 2017,Germany,Baden,Salwey,3.9,27,15.5,2017
Lugana 2019,Italy,Lugana,Roveglia,4.1,27,11.9,2019
Würzburger Stein Silvaner GG 2016,Germany,Franken,Juliusspital,4.0,27,29.9,2016
Grüner Silvaner Trocken 2018,Germany,Rheinhessen,Knewitz,3.6,27,8.07,2018
Chardonnay 2018,Austria,Mittelburgenland,Gesellmann,3.5,27,15.9,2018
Blanco 2019,Portugal,Vinho Verde,Escudo Real,3.4,27,5.71,2019
Garganega - Chardonnay delle Venezie Cuvée 2018,Italy,delle Venezie,Cielo e Terra,3.4,27,4.38,2018
7 Terroirs 2019,Germany,Nahe,Gut Hermannsberg,3.8,27,11.6,2019
Bianco Passivento 2019,Italy,Terre Siciliane,Barone Montalto,3.9,27,8.32,2019
Weissburgunder Trocken 2017,Germany,Saale-Unstrut,Winzervereinigung Freyburg-Unstrut,3.4,27,9.72,2017
Faius 2016,Italy,Irpinia,I Capitani,3.9,27,15.69,2016
Paradies Riesling 2018,Germany,Nahe,Korrell,4.1,27,22.7,2018
Bernkasteler Badstube Riesling Kabinett Feinherb 2015,Germany,Mosel,Markus Molitor,3.9,27,16.95,2015
Reserva Chardonnay 2016,Portugal,Lisboa,Quinta do Lagar Novo,3.8,28,13.65,2016
Collage Grauer Burgunder 2018,Germany,Pfalz,Hammel & Cie,3.9,28,9.46,2018
Franciscus Grüner Veltliner 2016,Austria,Kremstal,Salomon Undhof,3.2,28,10.23,2016
Ungeheuer Riesling GG 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.2,28,34.12,2018
Riesling Federspiel Himmelstiege 2019,Austria,Wachau,Domäne Wachau,3.4,28,9.85,2019
Kastanienbusch GG 2018,Germany,Pfalz,Ökonomierat Rebholz,4.2,28,66.31,2018
Limne 2019,Italy,Lugana,Roveglia,3.7,28,9.11,2019
Riesling 2017,France,Alsace,Albert Boxler,3.9,28,27.78,2017
Grüner Veltliner 2019,Austria,Kamptal,Loimer,3.9,28,9.44,2019
Chardonnay 2018,France,Pays d'Oc,Abbotts & Delaunay,3.7,28,6.73,2018
Verdicchio Dei Castelli Di Jesi Classico Le Vele 2019,Italy,Verdicchio dei Castelli di Jesi,Moncaro,3.7,28,6.32,2019
Chinon Blanc 2017,France,Chinon,Château de Saint Louans,4.2,28,27.29,2017
Rotenberg GG 2016,Germany,Nahe,Gut Hermannsberg,4.0,28,29.5,2016
Chardonnay 2017,United States,California,American Wings,3.2,28,6.73,2017
Diel de Diel Weisses Cuvée Trocken 2017,Germany,Nahe,Diel,3.6,28,11.95,2017
Vermentino (Etichetta Nera/Black Label) 2019,Italy,Colli di Luni,Lvnae,4.0,28,19.45,2019
Riesling Alsace Grand Cru 'Geisberg' 2012,France,Alsace Grand Cru 'Geisberg',Trimbach,4.4,28,53.35,2012
Sankt Nikolaus Riesling Trocken 2017,Germany,Rheingau,Peter Jakob Kühn,4.3,28,42.89,2017
Nachts Sind Alle Burgunder Grau 2019,Germany,Pfalz,Karl Pfaffmann,4.2,28,7.9,2019
Sauvignon Blanc 2018,South Africa,Stellenbosch,Drostdy-Hof,3.0,28,7.79,2018
Chardonnay 2019,South Africa,Durbanville,Durbanville Hills,3.5,28,7.99,2019
Neuland Grüner Veltliner 2019,Austria,Weinviertel,Herbert Zillinger,3.7,28,8.24,2019
Grauburgunder 2019,Germany,Rheinhessen,Krämer - Straight,3.9,28,7.73,2019
Sauvignon Stern 2018,Italy,Südtirol - Alto Adige,Cantina Kaltern,3.9,28,12.18,2018
Les Chays Condrieu 2015,France,Condrieu,Chirat,4.0,28,41.43,2015
Weissburgunder Trocken 2018,Germany,Pfalz,Studier,3.8,28,7.64,2018
Saumur Blanc 2018,France,Saumur,Langlois-Chateau,3.7,28,11.16,2018
Cellar Selection Chenin Blanc 2019,South Africa,Stellenbosch,Kleine Zalze,3.8,28,7.5,2019
Pinot Grigio 2019,Italy,Garda,La Prendina,3.7,28,10.96,2019
Hipping Riesling 2015,Germany,Rheinhessen,Kühling-Gillot,4.3,28,45.0,2015
Grauburgunder Trocken 2018,Germany,Nahe,Dönnhoff,3.6,28,12.57,2018
Sciare di Est Insolia 2017,Italy,Terre Siciliane,Antichi Vinai,3.6,28,7.42,2017
Bourgogne Aligoté 2018,France,Bourgogne Aligoté,Louis Jadot,3.5,28,12.6,2018
Le Chardonnay Limoux Blanc 2014,France,Limoux,Domaine de Baron'arques,3.8,28,37.82,2014
Vernaccia di San Gimignano 2018,Italy,Vernaccia di San Gimignano,Palagetto,3.5,28,8.5,2018
Aulerde Riesling GG 2018,Germany,Rheinhessen,Wittmann,4.1,28,36.0,2018
Maximin Herrenberg 1896 Riesling Alte Reben 2014,Germany,Mosel,Carl Loewen,3.9,28,47.99,2014
Berger Baron Bordeaux Blanc 2017,France,Bordeaux,Baron Philippe de Rothschild,3.1,28,8.72,2017
Trittenheimer Apotheke Riesling Trocken 2018,Germany,Mosel,Ansgar Clüsserath,4.0,28,25.83,2018
Pian di Rèmole Bianco 2018,Italy,Toscana,Frescobaldi,3.6,28,6.95,2018
Bouquet Terre Siciliane 2018,Italy,Terre Siciliane,Tenuta Rapitalà,3.6,28,10.57,2018
Chardonnay 2018,United States,North Coast,Ghost Pines,3.8,28,13.47,2018
Cococciola (Unico) 2019,Italy,Terre di Chieti,Tenuta Ulisse,3.8,28,8.9,2019
Ried Loibenberg Riesling Smaragd 2018,Austria,Wachau,F.X. Pichler,4.3,28,40.19,2018
Riesling Feinherb 2018,Germany,Rheingau,Schloss Vollrads,3.5,28,9.5,2018
Meursault-Genevrières Premier Cru 2013,France,Meursault 1er Cru 'Genevrières',Domaine Jean Monnier & Fils,4.0,28,95.36,2013
Niederberg Helden Riesling Kabinett 2018,Germany,Mosel,Schloss Lieser,3.9,28,17.1,2018
Sonnenberg Chardonnay Trocken 2018,Germany,Pfalz,Jülg,4.0,28,17.5,2018
Pinot Grigio Veneto 2019,Italy,Veneto,Vivolo di Sasso,3.4,28,5.29,2019
Oestricher Doosberg Alte Reben Riesling Trocken 2017,Germany,Rheingau,Spreitzer,3.9,28,16.9,2017
Poggio Al Tufo Vermentino 2018,Italy,Toscana,Tommasi,3.4,28,15.05,2018
Kaisermantel Weissburgunder 2019,Germany,Baden,Dr. Koehler,4.1,28,6.25,2019
Uvam Pinot Grigio 2019,Italy,delle Venezie,Maurizio B Martino MBM,3.7,28,5.25,2019
Kalkundkiesel 2019,Austria,Burgenland,Claus Preisinger,3.9,29,16.08,2019
Riverpoint Vineyard Gewürztraminer 2014,New Zealand,Gisborne,Millton,3.9,29,17.45,2014
Langenmorgen G.C 2014,Germany,Pfalz,Dr. Bürklin-Wolf,4.1,29,70.0,2014
Côtes du Rhône Le Caillou Blanc 2017,France,Côtes-du-Rhône,Clos du Caillou,3.4,29,10.9,2017
Sauvignon Blanc (Warrelwind) 2019,South Africa,Western Cape,MAN,3.6,29,5.49,2019
Fundament Riesling Trocken 2017,Germany,Pfalz,Wageck-Pfaffmann,3.2,29,8.56,2017
Viognier 2017,South Africa,Paarl,Fairview,3.4,29,15.98,2017
Parapli Chardonnay 2015,Hungary,Balaton,Kristinus,3.7,29,13.6,2015
Benedete Ribolla Gialla 2018,Italy,Veneto,Collavini,3.5,29,13.6,2018
Königsbacher Ölberg Riesling 2018,Germany,Pfalz,A. Christmann,3.6,29,25.35,2018
Cuvée Bérengère Chardonnay - Viognier 2018,France,Coteaux-d'Ensérune,Regismont,3.5,29,6.12,2018
Chardonnay 2017,Italy,Friuli Grave,Borgo Magredo,3.4,29,8.78,2017
GG Kirchberg Weissburgunder 2015,Germany,Baden,Salwey,4.3,29,35.0,2015
Clos Boucher Condrieu 2017,France,Condrieu,Delas,4.1,29,58.39,2017
Chiara 2018,Italy,Toscana,Poggio Al Sole,3.6,29,10.47,2018
Lahrer Grauburgunder 2018,Germany,Baden,Weingut Wöhrle,3.6,29,10.46,2018
Pecorino Terre di Chieti 2019,Italy,Terre di Chieti,Collefrisio,4.0,29,8.9,2019
Niederberg Helden Riesling GG 2017,Germany,Mosel,Schloss Lieser,3.8,29,26.5,2017
Steingrüble 2017,Germany,Baden,Ziereisen,4.1,29,13.95,2017
Zeltinger Riesling Kabinett Trocken 2018,Germany,Mosel,Selbach-Oster,3.8,29,13.95,2018
Piesporter Riesling Feinherb 2017,Germany,Piesport,Kurt Hain,4.0,29,8.72,2017
Live Wire Riesling 2018,Australia,Barossa,Langmeil,4.0,29,11.06,2018
Marani 2018,Italy,Veneto,Sartori,3.8,29,8.39,2018
Sallier de La Tour Grillo 2019,Italy,Sicilia,Tasca d'Almerita,3.9,29,8.9,2019
Auxerrois 2018,Germany,Baden,Klumpp,3.6,29,12.8,2018
Blanco 2018,Spain,Yecla,Barahonda,3.5,29,5.9,2018
Chardonnay 2018,South Africa,Cape Town,Cape Town Wine Co,3.0,29,7.5,2018
Escherndorfer Riesling 2018,Germany,Escherndorf,Horst Sauer,3.4,29,12.5,2018
Chenin Blanc 2018,South Africa,Paarl,Windmeul Kelder Cellar,3.4,29,7.5,2018
Weißburgunder Muschelkalk 2018,Germany,Baden,Enderle & Moll,3.9,29,15.01,2018
ReinSchiefer Nierstein Riesling 2017,Germany,Nierstein,Schätzel,3.6,29,20.53,2017
Edición Limitada Lías Verdejo 2017,Spain,Rueda,Ramón Bilbao,3.6,29,13.01,2017
Schellenbrunnen Riesling GG 2014,Germany,Baden,Heitlinger,3.9,29,30.39,2014
Halgans Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,4.1,29,20.84,2018
Saarburger Rausch Spätlese Riesling 2015,Germany,Mosel,Markus Molitor,3.6,29,20.95,2015
Sauvignon Riserva 2014,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,3.8,29,18.03,2014
Sauvignon 2018,France,Loire Valley,Domaine de la Foliette,3.4,29,7.7,2018
Deidesheimer Paradiesgarten 2017,Germany,Pfalz,Reichsrat von Buhl,4.1,29,21.0,2017
Riesling 'D' 2016,New Zealand,Marlborough,Te Whare Ra,3.8,29,21.45,2016
Jesuitengarten Riesling GG 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.0,29,43.77,2017
Johannishof Riesling Trocken 2019,Germany,Pfalz,Knipser,3.8,29,7.9,2019
Sauvignon Blanc 2019,Slovenia,Štajerska,Verus,3.9,29,11.9,2019
Chardonnay 2018,France,Pays d'Oc,Domaine d'Aubaret,3.5,29,6.95,2018
Sauvignon Blanc 500 2018,Germany,Pfalz,Von Winning,4.3,29,40.0,2018
Réserve Spéciale Sauvignon Blanc 2019,France,Pays d'Oc,Gérard Bertrand,3.9,29,8.32,2019
Terravignata Verdicchio di Matelica 2018,Italy,Verdicchio di Matelica,Borgo Paglianetto,3.4,29,11.35,2018
Lugana Lago 2019,Italy,Lugana,Zenato,3.4,29,6.9,2019
Bourgogne Blanc 2014,France,Bourgogne,Domaine Bruno Clair,3.8,29,23.29,2014
Lorch Riesling 2016,Germany,Rheingau,August Kesseler,4.0,29,16.5,2016
Pouilly-Fuissé Pentacrine 2016,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,4.0,29,24.08,2016
Passerina (Unico) 2019,Italy,Terre di Chieti,Tenuta Ulisse,3.9,29,9.5,2019
Pinot Grigio 2019,Italy,Venezia Giulia,Sacchetto,3.7,29,4.94,2019
Niederhäuser Hermannshöhle Riesling Spätlese 2018,Germany,Nahe,Dönnhoff,4.1,29,29.9,2018
Steinreich Riesling 2017,Germany,Mosel,Ansgar Clüsserath,3.9,29,14.14,2017
Clisson 2017,France,Muscadet-Sevre et Maine,Pépière,3.5,29,17.06,2017
Châteauneuf-du-Pape Blanc 2017,France,Châteauneuf-du-Pape,Château de Nalys,3.8,29,66.0,2017
Chardonnay Riserva 2013,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,3.9,29,18.5,2013
Grauburgunder Trocken 2018,Germany,Rheinhessen,Villa Welter,3.8,29,6.5,2018
Châteauneuf-du-Pape Blanc 2018,France,Châteauneuf-du-Pape,Château Mont-Redon,3.9,29,28.18,2018
Weissburgunder 2018,Germany,Rheinhessen,St. Antony,3.5,29,9.26,2018
Ungeheuer GG 2018,Germany,Pfalz,Von Winning,4.3,29,34.0,2018
Grauburgunder 2018,Germany,Baden,Klumpp,3.9,29,9.9,2018
Cantaloro Toscana Bianco 2018,Italy,Toscana,Avignonesi,3.6,29,9.65,2018
Steillage Riesling Trocken 2017,Germany,Mosel,Weinhaus Gebruder Steffen,3.6,29,9.53,2017
Fiano Salento 2018,Italy,Salento,Masseria Altemura,3.8,29,8.9,2018
Riebeeksrivier Chenin Blanc 2017,South Africa,Swartland,Cape of Good Hope,3.6,29,13.99,2017
Contraste Branco 2017,Portugal,Douro,Conceito,3.5,29,9.9,2017
Furmint 2017,Austria,Steiermark,Herrenhof Lamprecht,3.7,30,13.24,2017
Chardonnay 2018,Australia,Riverina,Pokerface,3.4,30,7.35,2018
